Date,Security,Price,Price_Currency
2021-04-01,7203.T,1462.423583984375,JPY
2021-04-01,AAPL,119.80145263671875,USD
2021-04-01,ASML.AS,505.1431579589844,EUR
2021-04-01,BNP.PA,36.86350631713867,EUR
2021-04-01,MSFT,232.54925537109375,USD
2021-04-01,SHELL.AS,13.526747703552246,EUR
2021-04-02,7203.T,1469.1949462890625,JPY
2021-04-02,AAPL,119.80145263671875,USD
2021-04-02,ASML.AS,505.1431579589844,EUR
2021-04-02,BNP.PA,36.86350631713867,EUR
2021-04-02,MSFT,232.54925537109375,USD
2021-04-02,SHELL.AS,13.526747703552246,EUR
2021-04-05,7203.T,1469.021240234375,JPY
2021-04-05,AAPL,122.62604522705078,USD
2021-04-05,ASML.AS,505.1431579589844,EUR
2021-04-05,BNP.PA,36.86350631713867,EUR
2021-04-05,MSFT,238.9974822998047,USD
2021-04-05,SHELL.AS,13.526747703552246,EUR
2021-04-06,7203.T,1452.527099609375,JPY
2021-04-06,AAPL,122.92797088623047,USD
2021-04-06,ASML.AS,508.9606018066406,EUR
2021-04-06,BNP.PA,36.72213363647461,EUR
2021-04-06,MSFT,237.8364715576172,USD
2021-04-06,SHELL.AS,13.573406219482422,EUR
2021-04-07,7203.T,1473.535400390625,JPY
2021-04-07,AAPL,124.57403564453125,USD
2021-04-07,ASML.AS,500.9440002441406,EUR
2021-04-07,BNP.PA,36.962467193603516,EUR
2021-04-07,MSFT,239.79391479492188,USD
2021-04-07,SHELL.AS,13.56857681274414,EUR
2021-04-08,7203.T,1461.555419921875,JPY
2021-04-08,AAPL,126.9700698852539,USD
2021-04-08,ASML.AS,507.72003173828125,EUR
2021-04-08,BNP.PA,36.75748062133789,EUR
2021-04-08,MSFT,243.0084686279297,USD
2021-04-08,SHELL.AS,13.241957664489746,EUR
2021-04-09,7203.T,1461.555419921875,JPY
2021-04-09,AAPL,129.5414276123047,USD
2021-04-09,ASML.AS,511.0602111816406,EUR
2021-04-09,BNP.PA,36.37575912475586,EUR
2021-04-09,MSFT,245.50331115722656,USD
2021-04-09,SHELL.AS,13.134156227111816,EUR
2021-04-12,7203.T,1464.507080078125,JPY
2021-04-12,AAPL,127.8271713256836,USD
2021-04-12,ASML.AS,500.46685791015625,EUR
2021-04-12,BNP.PA,36.34748840332031,EUR
2021-04-12,MSFT,245.56088256835938,USD
2021-04-12,SHELL.AS,13.18242359161377,EUR
2021-04-13,7203.T,1477.008056640625,JPY
2021-04-13,AAPL,130.93423461914062,USD
2021-04-13,ASML.AS,501.70745849609375,EUR
2021-04-13,BNP.PA,36.50300216674805,EUR
2021-04-13,MSFT,248.0365447998047,USD
2021-04-13,SHELL.AS,13.074623107910156,EUR
2021-04-14,7203.T,1473.188232421875,JPY
2021-04-14,AAPL,128.5966339111328,USD
2021-04-14,ASML.AS,506.0975341796875,EUR
2021-04-14,BNP.PA,36.74333572387695,EUR
2021-04-14,MSFT,245.25379943847656,USD
2021-04-14,SHELL.AS,13.499395370483398,EUR
2021-04-15,7203.T,1486.904296875,JPY
2021-04-15,AAPL,131.0023956298828,USD
2021-04-15,ASML.AS,505.7158203125,EUR
2021-04-15,BNP.PA,36.58782196044922,EUR
2021-04-15,MSFT,249.00572204589844,USD
